  id   |                request_id                | api_key_id | account_id | group_id |      model      | requested_model | upstream_model | stream | duration_ms |          created_at           | inbound_endpoint | upstream_endpoint 
 68434 | req_f27372f5-2162-48e8-8d7f-b82ce5a6a8e7 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        2142 | 2026-05-20 14:00:51.233529+08 | /v1/messages     | /v1/messages
 68433 | req_084ec9f8-d2cc-4219-bdda-0c02ce4a2bd2 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       25872 | 2026-05-20 14:00:49.026633+08 | /v1/messages     | /v1/messages
 68432 | req_1bd59c25-6854-4c1a-89a9-92dcc83a13a4 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       23570 | 2026-05-20 14:00:46.716248+08 | /v1/messages     | /v1/messages
 68430 | req_17d0b181-3213-4bfd-bd0f-17a353332eed |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       19694 | 2026-05-20 14:00:42.862802+08 | /v1/messages     | /v1/messages
 68428 | req_d9b447ce-2f99-40e4-8170-0222945dc876 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       16263 | 2026-05-20 14:00:39.416173+08 | /v1/messages     | /v1/messages
 68426 | req_286badd9-6b4d-408b-b5f2-875cd688dc84 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       13595 | 2026-05-20 14:00:36.755246+08 | /v1/messages     | /v1/messages
 68425 | req_18b26e4d-063c-49ad-8034-33353c7b8130 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       10906 | 2026-05-20 14:00:34.050666+08 | /v1/messages     | /v1/messages
 68423 | req_9d525863-3d60-4f46-8b49-de4a3587f4fb |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        7834 | 2026-05-20 14:00:30.984844+08 | /v1/messages     | /v1/messages
 68421 | req_7c90a53b-350e-4df8-af2f-f0cba8ab345e |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        4992 | 2026-05-20 14:00:28.150071+08 | /v1/messages     | /v1/messages
 68419 | req_5dc0719f-a6af-4668-ba7f-e3475fe4beb5 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        3420 | 2026-05-20 14:00:26.57496+08  | /v1/messages     | /v1/messages
